tx_count,unique_counterparties,avg_tx_value,median_tx_value,max_tx_value,min_tx_value,std_tx_value,total_volume,in_count,out_count,in_volume,out_volume,in_out_ratio,volume_ratio,avg_in_value,avg_out_value,unique_in_counterparties,unique_out_counterparties,counterparty_concentration,value_entropy,activity_span_days,avg_txs_per_day,large_tx_ratio,round_number_ratio,_inv_id,_role
249,215,2.5046167916171327e-06,9.585059389419952e-17,0.0005075888973928134,0.0,3.286765260269783e-05,0.000623649581112666,222,27,0.0006236488075579484,7.735547175537397e-10,8.222222222222221,806211.6271879926,2.8092288628736417e-06,2.865017472421258e-11,204,11,0.09236947791164658,3.3159890270354766,22,11.318181818181818,0.0,0.9718875502008032,1,attacker
6,1,2.16665268061531e-11,9.009090273659621e-15,1.2922984682435838e-10,1.22992e-21,5.269589310917756e-11,1.299991608369186e-10,6,0,1.299991608369186e-10,0.0,6.0,1.2999916083691858,2.16665268061531e-11,0.0,1,0,1.0,2.584962499855539,1,6.0,0.0,1.0,1,related
2,1,3.6543571236212204e-15,3.6543571236212204e-15,6.755864418626159e-15,5.528498286162812e-16,4.386193680395077e-15,7.308714247242441e-15,2,0,7.308714247242441e-15,0.0,2.0,7.30871424724244e-05,3.6543571236212204e-15,0.0,1,0,1.0,0.9999999997114609,1,2.0,0.0,1.0,1,related
6,1,3.160711603425119e-11,2.163263170224707e-15,1.8857756143415582e-10,1.66325941e-18,7.690066738644604e-11,1.896426962055071e-10,6,0,1.896426962055071e-10,0.0,6.0,1.896426962055071,3.160711603425119e-11,0.0,1,0,1.0,2.584962499855539,1,6.0,0.0,1.0,1,related
5,1,8.780036755424111e-11,2.49483925724183e-17,4.390011935503393e-10,1.6333807580578132e-20,1.963272301705015e-10,4.3900183777120554e-10,5,0,4.3900183777120554e-10,0.0,5.0,4.390018377712055,8.780036755424111e-11,0.0,1,0,1.0,2.3219280941660148,1,5.0,0.0,1.0,1,related
2,1,1.077177578465899e-15,1.077177578465899e-15,2.154355088869e-15,6.8062797924113e-23,1.5233590442953511e-15,2.154355156931798e-15,2,0,2.154355156931798e-15,0.0,2.0,2.154355156931798e-05,1.077177578465899e-15,0.0,1,0,1.0,0.9999999997114609,1,2.0,0.0,1.0,1,related
2,1,1.91479145e-17,1.91479145e-17,2.83e-17,9.995829e-18,1.2943003438098148e-17,3.8295829e-17,0,2,0.0,3.8295829e-17,0.0,0.0,0.0,1.91479145e-17,0,1,1.0,0.9999999997114609,1,2.0,0.0,1.0,1,suspect
246,211,4.7069954974518786e+38,1.3211160751258621e-17,1.157920892373162e+41,0.0,7.382633965466482e+39,1.157920892373162e+41,220,26,1.157920892373162e+41,3.605598012907697e-11,8.461538461538462,1.157920892373162e+51,5.263276783514373e+38,1.3867684665029603e-12,196,16,0.13821138211382114,3.2995209294640118,287,0.8571428571428571,0.0040650406504065045,0.9959349593495935,2,attacker
277,46,4.180219828061957e+38,5.011131600157233e-16,1.157920892373162e+41,0.0,6.957272363236536e+39,1.157920892373162e+41,212,65,0.10000000100904369,1.157920892373162e+41,3.2615384615384615,8.636168642237157e-43,0.00047169811796718723,1.7814167574971725e+39,19,29,0.7653429602888087,3.058604526673326,3483,0.07952914154464542,0.0036101083032490976,0.9963898916967509,2,exchange
1246,293,1.0045729713954248e-05,7.5343316213006005e-16,0.01,9.999008910000001e-28,0.0002836367799158712,0.012516979223586992,587,659,0.011650648947053345,0.0008663302765336463,0.8907435508345979,13.448276324440407,1.9847783555457146e-05,1.3146134697020429e-06,214,105,0.6179775280898876,3.3219169362936225,248,5.024193548387097,0.0,0.9454253611556982,2,exchange
1252,1101,1.260112066679773e-18,1.8775e-21,4.375e-16,6.75e-23,1.5683458054419434e-17,1.5776603074830758e-15,1252,0,1.5776603074830758e-15,0.0,1252.0,1.577660307483076e-05,1.260112066679773e-18,0.0,1101,0,0.03035143769968051,3.320361462796578,1139,1.0992098331870062,0.0,1.0,2,exchange
4,3,3.180633227e-15,1.356266454e-15,1e-14,1e-17,4.623171359997998e-15,1.2722532908e-14,1,3,6.82532908e-16,1.204e-14,0.3333333333333333,6.82532908e-06,6.82532908e-16,4.0133333333333336e-15,1,2,1.0,1.9999999994229218,6,0.6666666666666666,0.0,1.0,2,related
1301,408,5.019031106727292e-15,6.7215633147305605e-18,1.1422830356607595e-13,3.2939127099296404e-22,1.1792454904478648e-14,6.529759469852206e-12,629,672,3.087939633560032e-12,3.441819836292174e-12,0.9360119047619048,0.030879396335600322,4.9092839961208775e-15,5.121755708768116e-15,245,220,0.33358954650269024,3.3195802422663343,161,8.080745341614907,0.0,1.0,2,exchange
1276,394,1.0514637211635741e-14,2.286556275545833e-16,3.475665818934841e-13,6.5340989147041e-23,2.6846587307871768e-14,1.3416677082047206e-11,606,670,6.665612011276794e-12,6.751065070770412e-12,0.9044776119402985,0.06665612011276793,1.0999359754582169e-14,1.0076216523537928e-14,182,259,0.49764890282131663,3.3212785011122317,489,2.609406952965235,0.0,1.0,2,exchange
1278,435,7.940302176140143e-10,2.0200181248967724e-15,9.52518e-07,3.3013219243917887e-18,2.6673622820368294e-08,1.0147706181107101e-06,659,619,1.0147513108330872e-06,1.9307277622911366e-11,1.0646203554119547,10147.513108330872,1.5398350695494495e-09,3.119107855074534e-14,386,83,0.4154929577464789,3.3219210158735244,57,22.42105263157895,0.0,1.0,2,exchange
1250,236,1.2468840962223865e-14,2.0123211545e-15,6.43303769204145e-12,0.0,1.8259296009980873e-13,1.558605120277983e-11,626,624,1.0787024080430524e-11,4.7990271223493065e-12,1.0032051282051282,0.10787024080430524,1.7231667860112658e-14,7.690748593508504e-15,178,82,0.3544,3.3219280934446673,20,62.5,0.0,0.9648,2,exchange
1218,171,4.8804717315672555e-17,7.146607062715596e-18,2.9739132616749707e-15,3.54882978386552e-22,1.5433104918821287e-16,5.944414569048917e-14,591,627,2.97823981164669e-14,2.9661747574022265e-14,0.9425837320574163,0.00029782398116466895,5.0393228623463446e-17,4.7307412398759597e-17,98,130,0.3522167487684729,3.321920300797111,1111,1.0963096309630964,0.0,1.0,2,exchange
1381,460,1.0361304191557047e-14,4.4789637157223765e-17,2.096409754661e-12,8.9626901612e-24,7.04379328304637e-14,1.4308961088540283e-11,686,695,6.506645116788647e-12,7.802315971751636e-12,0.9870503597122302,0.06506645116788647,9.484905418059252e-15,1.1226353916189404e-14,248,234,0.5423606082548877,3.3219171257476963,1589,0.8691000629326621,0.0,1.0,2,exchange
1504,324,3.546131156791016e-11,1.663121325e-16,5.1029710961869473e-08,0.0,1.3161956521533055e-09,5.3333812598136894e-08,777,727,5.2926725017574924e-08,4.0708758056196693e-10,1.0687757909215956,130.01311645153078,6.811676321438214e-11,5.599554065501608e-13,221,135,0.5452127659574468,3.3217029824199784,1048,1.4351145038167938,0.0,0.9993351063829787,2,exchange
1186,570,1.070068001187377e-18,2.1584248847756592e-19,4.044693635992155e-17,4.2819272071900004e-24,2.812740622229525e-18,1.2691006494082292e-15,556,630,5.900419490551052e-16,6.79058700353124e-16,0.8825396825396825,5.900419490551052e-06,1.0612265270775275e-18,1.0778709529414666e-18,221,380,0.4325463743676223,3.321915778515905,259,4.579150579150579,0.0,1.0,2,exchange
1268,514,1.463039434131264e-14,2.242946086610027e-16,4e-12,4.47396365166417e-21,1.2072474215404808e-13,1.855134002478443e-11,647,621,1.2087692604310124e-11,6.463647420474305e-12,1.0418679549114331,0.12087692604310124,1.8682677904652433e-14,1.0408449952454597e-14,210,340,0.44952681388012616,3.3219029147501775,3,422.6666666666667,0.0,1.0,2,exchange
1241,350,1.7271000739670986e-15,1.65184659e-16,1.2575076414e-13,1.305e-21,7.392427363484122e-15,2.1433311917931694e-12,636,605,1.11951020315227e-12,1.0238209886408995e-12,1.0512396694214876,0.0111951020315227,1.760236168478412e-15,1.6922660969271066e-15,274,115,0.3182917002417405,3.3024987308099427,1,1241.0,0.0,1.0,2,exchange
1299,861,8.576880277344615e-12,4.90116892e-16,8.688753446309813e-09,1.8e-20,2.4267651632352157e-10,1.1141367480270657e-08,1293,6,1.1136726597566138e-08,4.640882704519435e-12,215.5,111.36726597566138,8.613090949393764e-12,7.734804507532391e-13,860,1,0.33102386451116245,3.320821470265523,1,1299.0,0.0,1.0,2,exchange
1187,264,5.781336996720852e-13,3.868561136699975e-16,2.4296472784668478e-11,2.0000000000000002e-36,1.8725157458102617e-12,6.862447015107652e-10,590,597,3.08419902800512e-10,3.778247987102532e-10,0.9882747068676717,0.8163040220052721,5.227455979669695e-13,6.328723596486653e-13,221,64,0.6166807076663858,3.321855785346398,227,5.229074889867841,0.0,1.0,2,exchange
1327,261,1.4129179245797801e-14,1.3417633990748686e-15,1.4999999999999997e-12,2.0526e-20,6.243680651636249e-14,1.874942085917368e-11,680,647,9.596814790279719e-12,9.152606068893961e-12,1.0510046367851622,0.09596814790279719,1.411296292688194e-14,1.4146222672169954e-14,203,97,0.30143180105501133,3.3219194823242164,124,10.701612903225806,0.0,1.0,2,exchange
1074,330,7.19629583501042e-11,1.202727618e-15,1.930536125438282e-08,2.681e-23,7.117338154852634e-10,7.728821726801191e-08,502,572,4.045508202632955e-08,3.6833135241682365e-08,0.8776223776223776,1.0983339257133993,8.058781280145329e-11,6.439359307986427e-11,217,153,0.6443202979515829,3.321913093857285,7,153.42857142857142,0.0,1.0,2,exchange
1345,446,1.116856087992266e-13,1.839683525335e-15,5.543603868979014e-12,1.0615683941220999e-23,3.774432364303524e-13,1.5021714383495977e-10,649,696,6.866560893120371e-11,8.155153490375604e-11,0.9324712643678161,0.686656089312037,1.0580217092635395e-13,1.171717455513736e-13,204,283,0.5449814126394052,3.321918124688267,59,22.796610169491526,0.0,1.0,2,exchange
1307,272,2.2644315599613093e-14,1.4699999999999999e-18,1.9471264935482663e-12,1.648005981348e-22,7.905010905071687e-14,2.9596120488694315e-11,643,664,1.6592006320322454e-11,1.3004114168371861e-11,0.9683734939759037,0.16592006320322453,2.5804053375307083e-14,1.9584509289716658e-14,225,89,0.38485080336648814,3.3197567344998875,21,62.23809523809524,0.0,1.0,2,exchange
1222,254,1.593314077535378e-14,2.9141746174999997e-15,5e-13,1e-22,3.6674601791080925e-14,1.947029802748232e-11,614,608,1.0046966744493424e-11,9.423331282988895e-12,1.0098684210526316,0.10046966744493423,1.6363138020347596e-14,1.5498900136494895e-14,153,148,0.427986906710311,3.321445940538319,1000,1.222,0.0,1.0,2,exchange
762,184,4.5795436794028644e-14,3.555362683420348e-16,1.727319604859658e-11,7.47473268902394e-22,6.354231203598259e-13,3.489612283704983e-11,222,540,3.1267660903151664e-11,3.6284619338981648e-12,0.4111111111111111,0.3126766090315166,1.4084531938356605e-13,6.7193739516632685e-15,138,59,0.6325459317585301,3.3218338540017887,888,0.8581081081081081,0.0,1.0,2,exchange
1285,63,5.76728784729937e-16,1.0511471117883154e-16,7e-14,1.96866116251159e-22,3.1137652282191522e-15,7.41096488377969e-13,662,623,4.905725950205269e-13,2.505238933574421e-13,1.0626003210272874,0.004905725950205268,7.41046216043092e-16,4.021250294661992e-16,34,46,0.9073929961089494,2.3778942966732313,153,8.398692810457517,0.0,1.0,2,exchange
1296,603,5.3024813242864294e-15,3.485417477320056e-16,3.5987019462685216e-13,1.7376208461819628e-20,1.9134583363485892e-14,6.872015796275214e-12,631,665,3.1459921250886158e-12,3.726023671186598e-12,0.9488721804511279,0.031459921250886154,4.985724445465318e-15,5.6030431145663125e-15,240,411,0.43364197530864196,3.314321450878583,6,216.0,0.0,1.0,2,exchange
1188,320,1.4186316073403302e-17,2.0473916689872366e-19,6.838019476217986e-15,1.3362308134e-26,2.4191799966075856e-16,1.685334349520312e-14,623,565,1.0762802783503041e-14,6.0905407117000785e-15,1.1026548672566372,0.0001076280278350304,1.7275766907709537e-17,1.0779718073805449e-17,232,123,0.5589225589225589,3.3219199019182084,133,8.93233082706767,0.0,1.0,2,exchange
1247,325,8.54065243741862e-15,1.6066423927862167e-16,5.275665779849518e-13,1.2755695659363e-23,3.045422625281552e-14,1.065019358946102e-11,628,619,4.9713897378453016e-12,5.678803851615718e-12,1.0145395799676897,0.04971389737845301,7.916225697205895e-15,9.174158080154634e-15,285,73,0.3993584603047314,3.321918341375552,309,4.035598705501618,0.0,1.0,2,exchange
1279,161,9.164803254381129e-15,3.091803977465128e-15,1.0586742275149998e-12,6.5e-21,4.4614299178370546e-14,1.1721783362353464e-11,651,628,6.14498192947533e-12,5.576801432878135e-12,1.036624203821656,0.0614498192947533,9.43929635864106e-15,8.880257058723144e-15,103,102,0.5238467552775606,3.321924116461565,262,4.8816793893129775,0.0,1.0,2,exchange
